pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,755.6394,350.653173,602.79353,360.106127
0,0,0,0,755.96,350.97,606.160179,362.469365
0,0,0,0,756,350.95,606.05,361.99
0,0,0,0,755.99,350.98,607.99,362.97
0,0,0,0,755.94,350.94,608.26,363.06
0,0,0,0,755.96,350.99,609.84,364.05
0,0,0,0,755.97,350.98,610.38,364.08
0,0,0,0,756.02,351.03,611.7,365.06
0,0,0,0,756,351,611.97,365.03
0,0,0,0,756.07,351.04,612.94,365.91
0,0,0,0,756.05,351.03,612.9,366.07
0,0,0,0,756,351.07,612.96,366.03
0,0,0,0,755.98,350.95,612.93,366.06
0,0,0,0,756.04,351,612.96,366.05
0,0,0,0,756,351.01,612.96,366.03
0,0,0,0,756.05,351.03,612.96,366.03
0,0,0,0,756.02,351.01,612.96,366.04
0,0,0,0,756.05,351.02,612.95,366.04
0,0,0,0,756.03,350.99,612.96,366.06
0,0,0,0,756.01,351,612.95,366.04
0,0,0,0,756.03,351.06,612.96,366.04
0,0,0,0,755.99,351.01,612.97,366.03
0,0,0,0,756,351,612.98,366.01
0,0,0,0,755.98,350.98,612.97,366.01
0,0,0,0,755.93,350.98,612.98,366.02
0,0,0,0,756,350.98,612.98,366.02
0,0,0,0,755.96,350.99,613,366.01
0,0,0,0,756,351,613,366
0,0,0,0,756.01,351.02,612.98,366.04
0,0,0,0,755.98,350.99,613,365.99
0,0,0,0,756,351.01,612.99,366
0,0,0,0,756.03,350.99,613,366
0,0,0,0,756.02,351,613,366
0,0,0,0,755.94,350.99,612.97,366.03
0,0,0,0,755.99,350.96,612.98,366.01
0,0,0,0,755.89,350.98,612.97,366.03
0,0,0,0,755.96,350.98,612.95,366.04
0,0,0,0,756.04,351,612.91,366.04
0,0,0,0,755.95,351.04,612.88,366.06
0,0,0,0,756.06,351.02,612.9,366.12
0,0,0,0,755.98,350.95,612.88,366.13
0,0,0,0,756.06,351.03,612.91,366.1
0,0,0,0,755.96,351,612.94,366.09
0,0,0,0,756,350.99,612.94,366.05
0,0,0,0,755.99,351,612.92,366.07
0,0,0,0,755.99,351,612.94,366.04
0,0,0,0,756.06,351.04,612.93,366.09
0,0,0,0,756.03,351.04,612.94,366.05
0,0,0,0,756.04,351.04,612.89,366.08
0,0,0,0,756.02,351.01,612.94,366.07
0,0,0,0,756,351.02,612.95,366.06
0,0,0,0,755.97,350.98,612.95,366.04
0,0,0,0,755.98,351.02,612.91,366.09
0,0,0,0,755.98,351.01,612.85,366.1
0,0,0,0,755.99,351.04,612.9,366.11
0,0,0,0,756.01,351.06,612.91,366.12
0,0,0,0,756.03,351.01,612.93,366.09
0,0,0,0,756,351.03,612.93,366.06
0,0,0,0,756.02,350.98,612.92,366.03
0,0,0,0,756,351,612.97,366.02
0,0,0,0,755.96,350.96,612.97,366.02
0,0,0,0,756,351,612.95,366.04
0,0,0,0,755.99,351.02,612.94,366.07
0,0,0,0,756.04,351.09,612.89,366.1
0,0,0,0,756.07,351.13,612.88,366.1
0,0,0,0,756.02,351.11,612.91,366.07
0,0,0,0,756.02,351.01,613.01,366.02
0,0,0,0,756,350.88,613.05,365.88
0,0,0,0,755.94,350.85,613.05,365.92
0,0,0,0,755.99,350.88,613.02,365.92
0,0,0,0,755.98,351.02,612.99,366.01
0,0,0,0,756.03,351.01,612.93,366.07
0,0,0,0,756.03,351.08,612.9,366.17
0,0,0,0,756.08,351.15,612.86,366.16
0,0,0,0,756.03,351.06,612.82,366.21
0,0,0,0,756,351,612.87,366.13
0,0,0,0,755.98,350.99,612.94,366.04
0,0,0,0,755.93,351.01,612.93,366.06
0,0,0,0,756,350.98,612.92,366.07
0,0,0,0,756.02,351.05,612.92,366.03
0,0,0,0,756.09,351.13,612.95,366.08
0,0,0,0,756.08,351.08,612.96,366.06
0,0,0,0,756.05,351.17,612.92,366.1
0,0,0,0,755.94,351.06,613,366.02
0,0,0,0,756.02,351.01,613,366
0,0,0,0,755.99,351,612.99,366
0,0,0,0,756.01,351.03,612.98,366.02
0,0,0,0,756.02,351.12,612.95,366.09
0,0,0,0,756,351.24,612.82,366.1
0,0,0,0,756.17,351.35,612.85,366.42
0,0,0,0,756.09,351.34,613.04,366.79
0,0,0,0,755.84,351.68,612.91,367.52
0,0,0,0,756.03,352.34,612.8,368.27
0,0,0,0,756.04,352.21,613.1,368.83
0,0,0,0,756.01,352.16,612.84,369.12
0,0,0,0,755.99,352.19,612.8,369.24
0,0,0,0,755.86,352.53,612.86,369.23
0,0,0,0,756,353.51,612.88,369.36
0,0,0,0,756.05,354.61,612.84,369.54
0,0,0,0,755.87,355.95,612.87,370.48
0,0,0,0,756.07,356.82,613.02,370.87
0,0,0,0,755.91,357.9,612.87,371.44
0,0,0,0,756.16,358.83,613.05,371.9
0,0,0,0,755.99,359.54,612.89,372.3
