pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,722.646239,349.865427,569.800368,353.016411
0,0,0,0,723.992898,349.865427,571.820358,358.530635
0,0,0,0,721.972909,350.653173,568.453709,356.955142
0,0,0,0,721.99,350.99,568.7,356.97
0,0,0,0,721.14,351.52,568.62,357
0,0,0,0,720.96,351.88,569.02,356.97
0,0,0,0,720.87,352.06,568.98,357.02
0,0,0,0,721.01,351.99,569.05,357.02
0,0,0,0,721.03,352.03,569.01,357.03
0,0,0,0,721.01,351.99,569.04,357.02
0,0,0,0,721.03,352.04,569.02,357.09
0,0,0,0,721.04,352.07,569.06,357.11
0,0,0,0,721.04,352.02,569.04,357.02
0,0,0,0,721.04,352.02,569.03,357
0,0,0,0,721.01,352,569.01,357
0,0,0,0,721.02,352.03,569.03,357
0,0,0,0,721,352.02,569.04,357.03
0,0,0,0,721.03,351.98,569.04,357.02
0,0,0,0,721.05,352.07,569.02,357.05
0,0,0,0,721.04,352.02,569.02,357.03
0,0,0,0,721.03,352.02,569.07,357
0,0,0,0,721.02,352.04,568.99,356.99
0,0,0,0,720.99,351.99,569.01,357
0,0,0,0,721,351.98,569,357
0,0,0,0,720.99,352,569.01,357
0,0,0,0,720.97,351.98,568.98,356.99
0,0,0,0,720.97,351.99,568.98,356.99
0,0,0,0,721,352,569.02,357
0,0,0,0,721,352,569.01,357
0,0,0,0,721.02,352.02,569,357.03
0,0,0,0,721.01,352,569.01,357.01
0,0,0,0,721,351.99,569.01,356.98
0,0,0,0,721,352,568.99,357.01
0,0,0,0,720.91,351.98,568.98,356.99
0,0,0,0,720.96,351.93,568.98,356.99
0,0,0,0,720.99,351.95,569.01,356.99
0,0,0,0,720.99,351.96,568.95,356.98
0,0,0,0,720.96,351.93,568.98,356.98
0,0,0,0,720.99,351.99,568.97,357.01
0,0,0,0,721,351.99,569,357.02
0,0,0,0,721.02,352.06,569.01,357.05
0,0,0,0,721,352.02,568.97,357.02
0,0,0,0,721,352.01,569,357
0,0,0,0,720.99,351.99,569.01,356.99
0,0,0,0,720.98,352,568.97,356.99
0,0,0,0,720.99,352.01,568.99,357
0,0,0,0,721.02,352.02,569,357
0,0,0,0,721.02,352.04,569.02,356.98
0,0,0,0,720.98,351.98,569,357.01
0,0,0,0,721.02,352.05,569,356.98
0,0,0,0,720.99,352,568.98,357
0,0,0,0,720.98,351.99,568.96,357
0,0,0,0,721,352.01,568.99,357.01
0,0,0,0,721.02,351.99,568.94,357.04
0,0,0,0,721.04,352,569,357
0,0,0,0,721.02,352.02,569,357.05
0,0,0,0,721.02,352.02,575.187007,361.681619
0,0,0,0,721.02,352,576.86,363
0,0,0,0,721.01,352,581.95,366.77
0,0,0,0,721.03,351.99,584.45,369.19
0,0,0,0,720.96,352,575.187007,364.832604
0,0,0,0,720.95,351.99,574.513677,363.257112
0,0,0,0,721,352.01,574.513677,359.318381
0,0,0,0,721.1,352.04,574.36,358.96
0,0,0,0,721.01,352.03,573.92,359.11
0,0,0,0,721.05,352.03,573.95,359.03
0,0,0,0,721,351.99,574.03,358.99
0,0,0,0,720.98,351.98,574.11,358.94
0,0,0,0,720.99,351.93,574.09,358.88
0,0,0,0,720.93,351.9,574.17,358.96
0,0,0,0,720.98,351.99,574.07,358.97
0,0,0,0,720.99,352,574.02,359
0,0,0,0,721.06,352.06,573.87,359.06
0,0,0,0,721.06,352.03,573.88,359.09
0,0,0,0,721,352.01,573.87,359.05
0,0,0,0,721.02,352.01,573.9,359
0,0,0,0,720.99,351.99,574.01,359.01
0,0,0,0,720.97,352.02,573.99,359
0,0,0,0,720.99,351.99,573.99,359.02
0,0,0,0,721,352.01,573.95,359.05
0,0,0,0,721.08,352.03,573.97,359.05
0,0,0,0,721.05,352.09,573.96,359.08
0,0,0,0,721.12,352.12,573.88,359.09
0,0,0,0,721.08,352.06,573.97,359.01
0,0,0,0,721.03,352,573.98,359.01
0,0,0,0,721.01,352.02,574.11,358.95
0,0,0,0,721,352,574,359.02
0,0,0,0,721.07,352.08,573.97,359.03
0,0,0,0,721.1,352.17,573.89,359.17
0,0,0,0,721.07,352.18,573.9,359.45
0,0,0,0,721.05,352.31,573.86,359.33
0,0,0,0,721.08,352.51,573.89,359.53
0,0,0,0,721.04,353.3,573.86,360.29
0,0,0,0,721.1,353.2,573.88,360.42
0,0,0,0,721.03,353.07,573.9,360.23
0,0,0,0,720.98,353.21,573.87,360.09
0,0,0,0,721.07,353.12,573.78,360.22
0,0,0,0,721.08,353.27,573.8,360.3
0,0,0,0,721.04,353.58,570.473698,371.134573
0,0,0,0,720.94,354.7,573.167017,367.195842
0,0,0,0,720.95,355.84,572.493688,367.195842
0,0,0,0,720.97,356.96,573.94,368.62
0,0,0,0,720.97,357.88,573.92,369.59
0,0,0,0,721.02,358.6,574.93,371.19
0,0,0,0,721.05,359.3,574.89,371.4
0,0,0,0,721.03,359.14,575.97,372.01
0,0,0,0,721,359.06,575.73,372.16
0,0,0,0,721.02,359.04,575.92,372.25
0,0,0,0,721.04,359.17,575.82,372.32
0,0,0,0,721.02,359.25,575.99,372.87
0,0,0,0,720.98,359.49,575.93,373.86
0,0,0,0,721.01,359.72,575.94,375.16
0,0,0,0,720.89,361.05,575.96,376.14
0,0,0,0,721.03,362.02,575.93,377.32
0,0,0,0,720.97,363.19,576.1,378.58
0,0,0,0,720.99,364.54,576.06,380.67
0,0,0,0,721.01,366.66,576.02,382.63
0,0,0,0,720.97,368.81,576.26,384.85
0,0,0,0,721.01,370.82,576.07,386.57
0,0,0,0,720.9,372.75,575.97,388.42
0,0,0,0,721.09,374.38,576.07,389.22
0,0,0,0,721.03,375.07,575.9,389.98
0,0,0,0,721.07,376.02,575.97,390.94
0,0,0,0,721.02,376.84,576.07,391.62
0,0,0,0,721.05,377.75,575.92,392.23
0,0,0,0,721.15,378.53,576.1,392.54
0,0,0,0,721.16,379.21,576.01,393.06
0,0,0,0,721.08,379.18,576.05,393.12
0,0,0,0,721.12,379.46,576.1,393.06
0,0,0,0,721.09,379.7,576.11,393.08
0,0,0,0,721.14,380.68,576.19,393.21
0,0,0,0,721.13,381.96,576.06,393.15
0,0,0,0,721.12,383.12,576.05,393.26
0,0,0,0,721.17,384.1,576,393.41
0,0,0,0,721.11,385.27,576.16,393.4
0,0,0,0,721.16,386.19,576.13,393.4
0,0,0,0,721.11,387.33,576.11,393.52
0,0,0,0,721.18,388.22,576.15,394.34
0,0,0,0,721.26,389.16,576.06,394.64
0,0,0,0,721.27,390.11,576.11,395.29
0,0,0,0,721.14,390.95,576.13,394.85
0,0,0,0,721,391.78,576.18,394.49
0,0,0,0,720.87,392.64,576.2,392.84
0,0,0,0,720.98,392.93,576.1,391.61
0,0,0,0,720.96,392.86,576.08,390.96
0,0,0,0,720.98,393.03,576.01,390.54
0,0,0,0,721.29,393.5,576.01,391.53
0,0,0,0,721.26,395.41,575.99,393.39
0,0,0,0,720.73,397.2,575.98,394.82
0,0,0,0,732.746186,399.493435,576.06,396.37
0,0,0,0,728.706207,405.007659,576.15,396.89
0,0,0,0,728.706207,405.795405,576.12,397.03
0,0,0,0,727.93,407.68,576.15,396.06
0,0,0,0,727.05,409.31,576.2,394.53
0,0,0,0,725.84,410.65,576.27,393.09
0,0,0,0,725.13,412.4,576.35,391.06
0,0,0,0,724.08,414.16,576.33,389.17
0,0,0,0,723.1,416.66,576.45,387.71
0,0,0,0,721.89,420.71,576.43,387.38
0,0,0,0,0,0,576.81,386.84
0,0,0,0,0,0,577.49,387.22
0,0,0,0,0,0,595.386902,381.375274
0,0,0,0,0,0,594.713572,389.252735
0,0,0,0,0,0,0,0
0,0,0,0,0,0,596.060231,386.889497
0,0,0,0,0,0,595.386902,389.252735
0,0,0,0,0,0,600.77354,386.889497
