pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,499.774066,497.961707,706.486323,471.178337
0,0,0,0,496.407417,500.324945,705.99,470.99
0,0,0,0,497.080747,499.537199,705.91,471.05
0,0,0,0,497.754077,498.749453,706.02,471.01
0,0,0,0,498.427407,497.961707,706,471
0,0,0,0,498.87,497.49,706,470.98
0,0,0,0,499.22,497.03,705.94,471
0,0,0,0,499.14,497.03,705.99,470.99
0,0,0,0,499.13,497.04,705.99,471.09
0,0,0,0,498.98,497.02,705.98,471.03
0,0,0,0,498.93,496.97,706,470.91
0,0,0,0,498.4,496.9,706.03,470.95
0,0,0,0,497.65,496.92,706.26,470.99
0,0,0,0,497.28,496.98,706.01,470.92
0,0,0,0,496.84,496.91,706.22,470.99
0,0,0,0,496.21,496.98,706.24,470.98
0,0,0,0,495.94,496.93,708.1,471
0,0,0,0,495.94,496.97,709.37,471.02
0,0,0,0,496.01,497,709.27,471.01
0,0,0,0,496,497,708.84,470.99
0,0,0,0,496.02,497.05,708.78,471.03
0,0,0,0,495.98,496.99,708.9,471.01
0,0,0,0,496.01,497.02,708.73,471.04
0,0,0,0,495.98,496.99,708.87,471.03
0,0,0,0,495.92,496.99,708.92,471.01
0,0,0,0,496.04,497,708.86,471.05
0,0,0,0,496.02,497,708.72,471.03
0,0,0,0,496.02,497.03,708.99,471.01
0,0,0,0,496.05,497.03,708.69,471.05
0,0,0,0,495.99,497,709.09,470.98
0,0,0,0,495.98,497,708.99,470.98
0,0,0,0,496.01,497,709.01,471
0,0,0,0,496.03,497,709.21,470.98
0,0,0,0,498.427407,490.871991,709.11,471.02
0,0,0,0,499.774066,502.688184,709.07,470.97
0,0,0,0,500.74,502.64,709.06,471.01
0,0,0,0,501.05,502.87,709.21,470.96
0,0,0,0,501.05,502.79,709.15,470.92
0,0,0,0,500.9,502.86,709.32,470.99
0,0,0,0,499.100736,491.659737,709.06,471.01
0,0,0,0,498.427407,496.386214,709.16,470.98
0,0,0,0,497.95,495.96,709.05,471.01
0,0,0,0,497.19,496.11,709.22,471.01
0,0,0,0,496.49,496.03,709.13,470.99
0,0,0,0,496.03,495.99,709.28,470.99
0,0,0,0,495.96,495.86,709.08,471.03
0,0,0,0,496,495.98,709.17,471.07
0,0,0,0,495.98,496,709,471
0,0,0,0,495.99,496,709.03,470.99
0,0,0,0,496.01,495.98,709.01,471
0,0,0,0,495.99,496,709.28,471.01
0,0,0,0,495.94,495.95,709.08,470.92
0,0,0,0,495.97,495.94,708.99,470.97
0,0,0,0,495.95,495.93,709.23,470.84
0,0,0,0,495.88,495.94,709.12,470.97
0,0,0,0,495.97,495.98,709,470.99
0,0,0,0,496.01,495.99,709.04,470.99
0,0,0,0,495.99,495.99,708.99,471
0,0,0,0,495.99,496,708.99,471
0,0,0,0,496.04,496.01,708.74,471.12
0,0,0,0,496.01,496.03,708.99,471.03
0,0,0,0,496.01,496.04,708.94,471.02
0,0,0,0,496,496,709.14,470.97
0,0,0,0,495.98,495.91,709.13,470.95
0,0,0,0,495.98,495.94,709,470.99
0,0,0,0,495.95,495.92,709.88,470.92
0,0,0,0,501.120726,494.022976,710.18,471.01
0,0,0,0,501.94,493.32,709.93,471.05
0,0,0,0,501.98,492.8,709.17,471.05
0,0,0,0,502.05,492.79,708.93,471.01
0,0,0,0,501.87,492.89,709.11,470.99
0,0,0,0,501.9,492.93,709.01,471
0,0,0,0,501.86,492.94,709,471
0,0,0,0,502.01,493,708.87,471.06
0,0,0,0,502,493,708.86,471.07
0,0,0,0,501.99,493,708.94,471.02
0,0,0,0,501.95,492.99,708.98,471.03
0,0,0,0,501.91,492.95,709.43,470.94
0,0,0,0,501.88,492.96,710.18,470.95
0,0,0,0,501.88,492.97,710.84,470.99
0,0,0,0,501.95,492.99,711.83,471.03
0,0,0,0,502.01,493.01,712.39,471.02
0,0,0,0,501.94,493,701.773014,466.45186
0,0,0,0,502.05,493.06,703.793004,467.239606
0,0,0,0,502.01,493,703.11,467.3
0,0,0,0,501.93,493.01,703.03,466.96
0,0,0,0,501.93,492.98,702.99,467.03
0,0,0,0,502,492.99,702.97,466.96
0,0,0,0,501.79,492.94,702.79,466.8
0,0,0,0,501.76,492.92,702.99,466.9
0,0,0,0,501.88,492.84,703.02,466.91
0,0,0,0,501.95,492.87,703.04,466.93
0,0,0,0,501.96,492.87,703.13,466.94
0,0,0,0,502.01,492.66,703.07,466.84
0,0,0,0,501.93,492.45,703.19,467.02
0,0,0,0,501.99,491.69,703.23,466.91
0,0,0,0,501.98,491.47,703.18,466.89
0,0,0,0,501.92,490.69,703.27,466.86
0,0,0,0,501.93,490.75,705.16,467.01
0,0,0,0,501.87,490.57,707.2,467.01
0,0,0,0,501.96,490.85,707.38,466.92
0,0,0,0,501.99,490.98,707.06,466.97
0,0,0,0,502.05,491,706.96,466.97
0,0,0,0,502.03,490.95,707.16,466.98
0,0,0,0,501.92,490.85,707.2,466.99
0,0,0,0,501.94,490.66,707.13,466.17
0,0,0,0,502.04,490.5,706.87,465.02
0,0,0,0,501.8,490.54,707.15,464.97
0,0,0,0,501.68,490.8,707.44,464.99
0,0,0,0,501.68,490.78,707,465.05
0,0,0,0,501.69,490.54,707.08,464.06
0,0,0,0,501.85,490.33,707.25,462.97
0,0,0,0,501.88,488.95,698.89,460.96
0,0,0,0,502.04,488.19,698.97,460.14
0,0,0,0,501.5,487.27,698.98,459.09
0,0,0,0,501.78,486.03,698.87,458.04
0,0,0,0,501.46,485.18,698.99,457.22
0,0,0,0,500.88,483.98,698.99,455.94
0,0,0,0,500.59,483.1,699.08,455.67
0,0,0,0,500.2,482.29,699.01,454.85
0,0,0,0,499.63,480.98,699.08,454.27
0,0,0,0,499.63,480.39,698.97,452.99
0,0,0,0,499.75,479.4,699.24,452.17
0,0,0,0,499.59,478.05,701.5,452.14
0,0,0,0,499.38,477.7,702.15,451.04
0,0,0,0,498.2,477.75,701.52,450.2
0,0,0,0,496.9,477.95,702.29,449.88
0,0,0,0,496.27,477.82,703.84,450.02
0,0,0,0,494.8,477.36,703.36,449.48
0,0,0,0,493.77,476.17,702.57,449
0,0,0,0,492.76,474.96,691.673067,446.758206
0,0,0,0,491.76,473.97,699.34,447.31
0,0,0,0,491.12,473.27,698.81,445.95
0,0,0,0,490.01,472.32,691.673067,444.394967
0,0,0,0,489.03,471.8,692.06,443.86
0,0,0,0,488.18,471.91,691.36,444.1
0,0,0,0,487.21,472.02,690.97,444.01
0,0,0,0,486.06,472.02,690.87,444.06
0,0,0,0,485.4,471.96,690.87,444.09
0,0,0,0,484.24,472.09,690.91,444
0,0,0,0,483.21,472.02,690.81,444.06
0,0,0,0,482.06,471.97,690.87,443.99
0,0,0,0,481.06,471.69,690.88,444.01
459.577853,494.83557,0,0,480.11,470.99,690.94,443.93
456.675359,491.936242,0,0,479.2,470.02,690.96,443.28
459.577853,470.674497,0,0,478.05,468.86,690.89,442.88
462.480348,462.942953,0,0,478.58,460.34,681.573119,438.880744
464.415344,458.110738,0,0,478.81,452.83,681.98,438.99
464.415344,452.312081,0,0,0,0,681.76,438.96
463.447846,442.647651,0,0,0,0,681.81,439.99
463.447846,435.88255,0,0,0,0,680.18,440.82
465.382842,431.050336,0,0,0,0,680.06,442.83
469.252834,423.318792,0,0,0,0,679.91,445.18
467.317838,415.587248,0,0,0,0,680.1,447.95
468.285336,410.755034,0,0,0,0,680.08,450.95
468.285336,410.755034,0,0,0,0,679.99,453.75
466.35034,408.822148,0,0,0,0,680.04,456.83
469.252834,400.124161,0,0,0,0,680.05,459.76
469.252834,395.291946,0,0,0,0,680.04,462.85
468.285336,387.560403,0,0,0,0,680.17,465.25
469.252834,382.728188,0,0,0,0,680.04,467.35
468.285336,376.92953,0,0,0,0,680.02,470.04
470.220333,370.16443,0,0,0,0,680.06,472.57
469.252834,364.365772,0,0,0,0,680.06,475.22
466.35034,352.768456,0,0,0,0,680.04,477.05
460.545351,346.003356,0,0,0,0,679.96,478.76
460.545351,346.003356,0,0,0,0,679.98,480.2
457.642857,334.40604,0,0,0,0,680.01,481.06
457.642857,328.607383,0,0,0,0,680,482.18
455.707861,318.942953,0,0,0,0,680.03,483.03
448.935374,317.97651,0,0,0,0,680.04,484.01
447.000378,309.278523,0,0,0,0,679.97,484.93
440.227891,302.513423,0,0,0,0,680,485.91
436.357899,289.949664,0,0,519.973961,327.808534,680.04,487.01
433.455404,284.151007,0,0,519.300631,323.869803,680,488.68
431.520408,276.419463,0,0,519.300631,315.992341,680.08,490.93
428.617914,271.587248,0,0,517.280642,301.025164,680.28,493.25
423.780423,269.654362,0,0,516.607312,286.845733,680.48,495.91
420.877929,264.822148,0,0,517.280642,276.605033,680.99,499.11
419.910431,259.02349,0,0,519.300631,258.486871,681.34,502.21
417.007937,250.325503,0,0,521.993951,242.731947,681.73,504.97
417.007937,242.59396,0,0,524,229,682.09,508.02
412.170446,232.92953,0,0,525.98,215.41,681.97,510.93
411.202948,238.728188,0,0,521.320621,216.736324,681.89,513.65
409.267952,231.963087,0,0,519.973961,204.132385,681.79,516.91
405.397959,224.231544,0,0,518.627301,193.103939,681.95,519.77
404.430461,218.432886,0,0,511.220673,186.801969,681.84,522.76
404.430461,207.802013,0,0,517.953972,170.2593,681.84,525.78
