pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,526.418004,490.5,737.089424,463.543478
0,0,0,0,531.74183,481.804348,737.84997,460.934783
0,0,0,0,525.657457,485.282609,738,461.01
0,0,0,0,531.74183,486.152174,738.67,461.09
0,0,0,0,528.699643,487.021739,739,461.02
0,0,0,0,525.657457,488.76087,739.49,461.12
0,0,0,0,529.46019,486.152174,739.31,461.05
0,0,0,0,529.05,486.03,739.32,461.08
0,0,0,0,532.52,484.09,738.86,461.01
0,0,0,0,534.784017,488.76087,739.02,461
0,0,0,0,529.46019,486.152174,739.18,460.95
0,0,0,0,0,0,739.08,460.9
0,0,0,0,527.939097,482.673913,739.06,460.74
0,0,0,0,530.220737,483.543478,739.06,460.83
0,0,0,0,529.59,483.95,739.09,460.72
0,0,0,0,529.8,483.93,739.09,460.95
0,0,0,0,529.69,483.94,739.04,460.93
0,0,0,0,530.02,483.95,738.94,460.99
0,0,0,0,529.93,483.99,739.01,461
0,0,0,0,530.01,484.03,738.91,461.07
0,0,0,0,530,484.06,738.9,461.07
0,0,0,0,530.03,484,738.9,461.05
0,0,0,0,530.02,484,738.92,461.06
0,0,0,0,530,484,738.93,461.05
0,0,0,0,529.96,483.98,738.9,461.09
0,0,0,0,529.96,484,738.91,461.08
0,0,0,0,530.01,483.99,738.95,461.08
0,0,0,0,530.01,484.04,738.83,461.13
0,0,0,0,530.02,484,738.98,461.09
0,0,0,0,530.05,484.02,739,461
0,0,0,0,529.99,484.01,739,461
0,0,0,0,529.99,483.99,738.99,461.01
0,0,0,0,529.93,483.97,739.07,460.95
0,0,0,0,530,484,739.11,460.83
0,0,0,0,530.04,484,739.06,460.89
0,0,0,0,529.91,483.9,739.07,460.92
0,0,0,0,529.89,483.95,739.1,460.93
0,0,0,0,529.84,483.96,739.3,460.93
0,0,0,0,529.69,483.98,738.99,461.01
0,0,0,0,529.95,483.97,739.23,460.97
0,0,0,0,529.85,483.97,739.08,460.95
0,0,0,0,529.95,483.98,739.02,461
0,0,0,0,529.98,484,739.11,460.99
0,0,0,0,529.8,483.98,739.12,460.98
0,0,0,0,529.92,483.94,739.05,460.93
0,0,0,0,529.88,483.99,739.1,460.97
0,0,0,0,529.95,484.02,739.08,461.03
0,0,0,0,530.01,484,739.02,460.99
0,0,0,0,530,484,739.03,461.01
0,0,0,0,529.96,483.94,739.74,460.97
0,0,0,0,529.94,483.99,740.01,460.98
0,0,0,0,529.92,483.93,740.13,461.02
0,0,0,0,529.83,483.96,740.01,460.97
0,0,0,0,529.92,483.92,740.12,461.01
0,0,0,0,529.91,483.96,740.09,461
0,0,0,0,529.98,483.99,739.99,461
0,0,0,0,530.01,483.99,740.05,461
0,0,0,0,530.02,484,739.99,461.01
0,0,0,0,529.97,484,740,461
0,0,0,0,530.01,484.02,739.88,460.98
0,0,0,0,530.01,484,739.92,460.99
0,0,0,0,530.08,484.01,739.98,460.99
0,0,0,0,529.97,483.98,740.01,461
0,0,0,0,529.93,483.96,740.21,461
0,0,0,0,529.91,483.84,740.17,461.01
0,0,0,0,529.98,483.96,740.1,461.02
0,0,0,0,529.95,483.94,739.93,461
0,0,0,0,530.04,484.02,739.91,460.99
0,0,0,0,530,484,739.91,461
0,0,0,0,529.93,483.96,739.95,461
0,0,0,0,529.87,483.94,740.04,460.99
0,0,0,0,529.76,483.93,740.11,461.03
0,0,0,0,529.92,483.95,739.94,461.01
0,0,0,0,529.99,484,739.96,460.99
0,0,0,0,530.08,484,739.69,461.04
0,0,0,0,530.02,484.03,739.54,461.01
0,0,0,0,529.89,483.93,739.72,460.98
0,0,0,0,529.91,483.87,740.33,460.94
0,0,0,0,529.82,483.8,741.11,461.03
0,0,0,0,529.9,483.97,741.85,461
0,0,0,0,529.99,484.01,742.61,460.97
0,0,0,0,530.07,484.01,742.99,461
0,0,0,0,530.06,484.03,742.95,461.02
0,0,0,0,530.08,484.08,742.63,461.02
0,0,0,0,530.14,484.06,742.11,461
0,0,0,0,530,484.01,741.92,461
0,0,0,0,529.95,484.02,741.88,461.03
0,0,0,0,529.91,483.8,742.24,460.96
0,0,0,0,529.98,483.47,737.089424,458.326087
0,0,0,0,530.05,482.46,737.089424,458.326087
0,0,0,0,529.96,481.52,737.72,457.95
0,0,0,0,529.8,481.84,738.05,457.9
0,0,0,0,529.93,481.75,738,458.07
0,0,0,0,529.85,481.82,738.2,457.87
0,0,0,0,529.9,481.73,738.3,457.92
0,0,0,0,529.86,481.64,740.12,458.01
0,0,0,0,529.92,481.82,742.05,457.96
0,0,0,0,529.9,481.59,744.59,457.98
0,0,0,0,530.01,481.45,746.74,457.94
0,0,0,0,529.92,480.77,734.047237,457.456522
0,0,0,0,529.92,480.94,732.526144,456.586957
0,0,0,0,530.02,481,732.65,457.01
0,0,0,0,530,481,732.8,456.92
0,0,0,0,529.46019,472.23913,733.08,457
0,0,0,0,530.981283,473.108696,733.14,456.64
0,0,0,0,531.64,472.01,733.01,456.36
0,0,0,0,532.06,471.12,733.01,455.67
0,0,0,0,531.82,470.05,732.97,455.61
0,0,0,0,531.85,469.3,733.05,455.81
0,0,0,0,531.74,468.9,733.09,455.89
0,0,0,0,531.85,468.04,732.93,455.14
0,0,0,0,532,467.25,736.18,455.06
0,0,0,0,531.97,466.07,736.77,453.92
0,0,0,0,531.81,464.99,739.7,453.95
0,0,0,0,531.81,464.22,727.202317,453.978261
0,0,0,0,531.78,463,727.962864,451.369565
0,0,0,0,531.74,462.12,729.483957,447.021739
0,0,0,0,531.93,461.15,729.54,445.18
0,0,0,0,524.136364,465.282609,729.92,443.67
0,0,0,0,524.136364,464.413043,729.89,442.58
0,0,0,0,522.85,463.66,729.96,441.72
0,0,0,0,522.58,463.13,729.99,441.08
0,0,0,0,522.07,462.23,729.88,440.13
0,0,0,0,521.93,461.06,729.94,439.02
0,0,0,0,522.12,460.15,729.89,438.06
0,0,0,0,522.02,459.21,729.94,437.16
0,0,0,0,522.16,458.09,729.86,436.18
0,0,0,0,521.75,457.21,729.24,435.3
0,0,0,0,521.04,456.1,728.82,434.82
0,0,0,0,520.1,455.1,727.99,433.98
0,0,0,0,518.69,453.9,726.91,433.03
0,0,0,0,517.75,453.1,726,431.94
0,0,0,0,516.83,452.57,725.01,431.13
0,0,0,0,516.18,452.16,724.15,430.69
0,0,0,0,514.92,451.96,723.01,430.84
0,0,0,0,514.19,452.02,722.12,430.97
0,0,0,0,513.07,452.02,721.08,431
0,0,0,0,512.2,452.01,720.17,431
516.530897,513.240385,0,0,511.09,452.06,719.16,430.96
514.249257,508.048077,0,0,510.2,452.02,717.98,431
505.122698,500.259615,0,0,509.18,452.04,717.2,431
507.404337,496.798077,0,0,507.97,451.93,716.07,430.98
508.925431,486.413462,0,0,506.96,451.93,714.95,430.95
510.446524,478.625,0,0,505.81,451.47,713.97,431
510.446524,470.836538,0,0,504.94,450,713.05,430.25
511.967617,461.317308,0,0,503.6,449.03,712.02,429.9
513.488711,450.067308,0,0,499.798871,445.282609,711.09,429.13
516.530897,442.278846,0,0,0,0,710.24,428.68
518.812537,435.355769,0,0,0,0,709.23,429.44
518.812537,428.432692,0,0,0,0,708.37,430.18
521.094177,419.778846,0,0,0,0,707.84,431.64
523.05,414.01,0,0,0,0,707.35,434.67
524.96,408.98,0,0,0,0,707.09,437.9
526.99,403.29,0,0,0,0,707.05,441
528.98,397.79,0,0,0,0,707.1,444.01
531,392.61,0,0,0,0,707.06,446.96
532.9,387.6,0,0,0,0,707.08,449.99
526.418004,382.567308,0,0,0,0,707.12,452.99
522.1,378.76,0,0,0,0,707.18,455.95
517.99,374.03,0,0,0,0,707.06,458.74
527.17855,366.125,0,0,0,0,707.2,461.91
526.418004,362.663462,0,0,0,0,707.09,464.75
527.17855,355.740385,0,0,0,0,707.17,467.9
525.657457,351.413462,0,0,0,0,707.29,470.2
524.136364,342.759615,0,0,0,0,707.13,471.96
522.99,335.16,0,0,0,0,707.04,473.79
522.06,326.92,0,0,0,0,707.03,475.27
521.01,318.95,0,0,0,0,706.95,476.42
519.89,310.89,0,0,0,0,706.99,477.45
518.78,302.84,0,0,0,0,706.88,478.41
516.74,294.93,0,0,0,0,706.99,478.97
514.93,286.88,0,0,0,0,706.93,479.99
512.88,278.87,0,0,0,0,706.97,480.96
511.11,271.02,0,0,0,0,707.04,482.06
509.19,263,0,0,0,0,707.15,483.43
496.756684,261.413462,0,0,0,0,707.17,485.03
493.714498,255.355769,0,0,0,0,707.61,487.26
494.475045,246.701923,0,0,0,0,708.39,489.8
487.630125,246.701923,0,0,0,0,708.93,493.06
488.390671,240.644231,0,0,0,0,709.83,496.09
487.630125,233.721154,0,0,557.600416,230.5,710.57,498.99
486.109031,227.663462,0,0,561.403149,228.76087,711.1,501.95
484.98,221.1,0,0,561.403149,220.934783,711.05,504.91
483.79,214.93,0,0,561.403149,210.5,710.36,507.73
482.91,209.05,0,0,562.924242,187.891304,709.66,511.02
482.68,202.99,0,0,560.642602,176.586957,709.09,513.96
481.545752,196.509615,0,0,560.642602,163.543478,708.18,516.84
481.545752,191.317308,0,0,560.642602,158.326087,707.24,519.88
480.785205,186.990385,0,0,562.924242,143.543478,705.95,522.09
480.785205,178.336538,0,0,562.924242,137.456522,704.98,523.55
480.024658,168.817308,0,0,564.445336,133.108696,704.01,525.02
480.024658,162.759615,0,0,566.726976,119.195652,703.01,526.64
479.264112,153.240385,0,0,568.248069,112.23913,701.88,528.27
480.785205,144.586538,0,0,568.248069,103.543478,700.98,529.85
482.306298,135.932692,0,0,569.008616,97.456522,700.15,531.56
483.827392,131.605769,0,0,575.092989,96.586957,698.96,533.89
483.827392,123.817308,0,0,578.135175,101.804348,697.98,535.83
485.348485,118.625,0,0,578.135175,107.021739,696.94,537.73
483.066845,108.240385,0,0,580.416815,112.23913,695.84,539.88
485.348485,111.701923,0,0,582.698455,117.456522,694.86,541.64
489.151218,109.105769,0,0,580.416815,121.804348,694.82,542.01
493.714498,105.644231,0,0,576.614082,120.065217,0,0
500.559418,103.048077,0,0,579.656269,129.630435,0,0
516.530897,112.567308,0,0,579.656269,138.326087,0,0
516.530897,115.163462,0,0,584.71,145.93,0,0
516.530897,126.413462,0,0,589.543375,156.586957,0,0
522.61527,135.932692,0,0,0,0,0,0
525.657457,144.586538,731.765597,506.152174,0,0,0,0
528.699643,165.355769,734.807784,496.586957,0,0,0,0
532.502377,173.144231,742.41325,486.152174,0,0,0,0
535.544563,186.990385,748.497623,462.673913,0,0,0,0
533.262923,205.163462,740.13161,449.630435,0,0,0,0
540.86839,220.740385,744.69489,433.978261,0,0,0,0
540.86839,231.990385,745.455437,420.934783,0,0,0,0
546.192216,239.778846,739.371064,402.673913,0,0,0,0
548.473856,246.701923,740.13161,388.76087,0,0,0,0
551.516043,255.355769,738.610517,368.76087,0,0,0,0
550.755496,260.548077,738.610517,346.152174,0,0,0,0
547.71331,265.740385,731.765597,322.673913,0,0,0,0
543.15003,270.067308,722.639037,287.891304,0,0,0,0
535.544563,275.259615,713.512478,257.456522,0,0,0,0
527.17855,279.586538,711.230838,247.021739,0,0,0,0
518.812537,287.375,699.822638,191.369565,0,0,0,0
511.967617,291.701923,700.583185,158.326087,0,0,0,0
501.319964,301.221154,699.822638,127.021739,0,0,0,0
504.362151,305.548077,707.428105,98.326087,0,0,0,0
505.883244,315.932692,702.104278,57.456522,0,0,0,0
511.207071,337.567308,706.667558,45.282609,0,0,0,0
513.488711,354.009615,712.751931,33.978261,0,0,0,0
525.657457,380.836538,712.751931,27.891304,0,0,0,0
527.17855,408.528846,715.794118,14.847826,0,0,0,0
537.826203,439.682692,719.596851,21.804348,603.993761,451.369565,612.359774,120.065217
547.71331,468.240385,722.639037,31.369565,608.557041,471.369565,616.162507,120.934783
556.839869,502.855769,727.962864,43.543478,608.557041,493.978261,607.796494,85.282609
565.966429,527.951923,727.962864,59.195652,614.641414,510.5,604.754308,74.847826
571.290255,560.836538,731.005051,72.23913,626.049614,534.847826,588.782828,51.369565
575.092989,580.740385,732.526144,93.978261,629.0918,547.891304,586.501188,44.413043
587.261735,611.028846,730.244504,114.847826,632.133987,567.891304,574.332442,34.847826
582.698455,640.451923,725.681224,130.5,637.457813,591.369565,567.487522,25.282609
0,0,718.836304,140.065217,642.78164,612.23913,561.403149,15.717391
0,0,701.343731,167.891304,645.823827,633.108696,561.403149,20.065217
0,0,689.935532,182.673913,648.105466,648.76087,565.205882,32.23913
0,0,689.174985,195.717391,643.542187,666.152174,566.726976,42.673913
0,0,683.851159,205.282609,0,0,572.050802,55.717391
0,0,681.569519,224.413043,0,0,579.656269,76.586957
0,0,680.048425,233.978261,0,0,579.656269,86.152174
0,0,681.569519,243.543478,0,0,591.064468,107.891304
0,0,692.217172,253.978261,0,0,602.472668,127.021739
0,0,697.540998,257.456522,0,0,612.38,145.89
0,0,705.907011,260.934783,0,0,609.317588,161.804348
0,0,701.343731,265.282609,0,0,618.444147,185.282609
631.37344,656.894231,700.583185,269.630435,0,0,629.852347,202.673913
629.0918,637.855769,708.188651,274.847826,0,0,641.260547,228.76087
627.570707,621.413462,715.794118,287.891304,0,0,645.823827,247.021739
626.049614,603.240385,722.639037,290.5,0,0,658.753119,257.456522
620.725787,577.278846,745.455437,300.065217,0,0,666.358586,274.847826
619.204694,542.663462,760.66637,294.847826,0,0,677.006239,292.23913
616.923054,516.701923,775.877302,292.23913,0,0,691.456625,302.673913
619.965241,482.086538,790.327689,291.369565,0,0,692.217172,308.76087
619.965241,453.528846,793.369875,300.065217,0,0,700.583185,320.934783
620.725787,416.317308,795.651515,304.413043,0,0,702.864825,336.586957
616.923054,384.298077,801.735888,316.586957,0,0,710.470291,350.5
619.965241,353.144231,802.496435,325.282609,0,0,714.273024,378.326087
618.444147,321.125,807.820261,340.934783,0,0,718.836304,382.673913
616.923054,292.567308,813.144088,351.369565,0,0,715.033571,394.847826
614.641414,264.875,815.425728,368.76087,0,0,717.315211,408.76087
613.120321,231.125,813.144088,373.978261,0,0,718.075758,419.195652
613.120321,207.759615,804.778075,405.282609,0,0,717.315211,430.5
610.838681,186.125,804.778075,413.108696,0,0,709.709745,452.23913
612.359774,162.759615,798.693702,433.108696,0,0,706.667558,460.934783
609.317588,147.182692,795.651515,451.369565,0,0,699.062092,480.934783
603.233214,135.932692,786.524955,479.195652,0,0,696.780452,499.195652
598.669935,128.144231,777.398396,503.543478,0,0,692.217172,518.326087
591.825015,125.548077,772.074569,527.891304,0,0,689.174985,524.413043
586.501188,135.067308,766.750743,554.847826,0,0,680.048425,549.630435
580.416815,143.721154,0,0,0,0,680.808972,570.5
575.853535,167.086538,0,0,669.400772,167.021739,0,0
572.050802,181.798077,0,0,663.316399,161.804348,0,0
567.487522,209.490385,0,0,659.513666,147.021739,0,0
565.966429,231.990385,0,0,659.513666,138.326087,0,0
568.248069,254.490385,0,0,660.274213,131.369565,0,0
578.895722,282.182692,0,0,668.640226,134.847826,0,0
582.698455,302.086538,0,0,664.837493,138.326087,0,0
586.501188,310.740385,0,0,665.598039,136.586957,0,0
594.106655,321.990385,0,0,661.795306,136.586957,0,0
600.191028,317.663462,0,0,657.992573,130.5,0,0
610.838681,315.067308,0,0,657.992573,135.717391,0,0
614.641414,315.932692,0,0,659.513666,143.543478,0,0
613.120321,321.125,0,0,661.034759,148.76087,0,0
613.880867,320.259615,0,0,663.316399,158.326087,0,0
616.162507,317.663462,0,0,664.076946,186.152174,0,0
616.162507,312.471154,0,0,659.513666,200.065217,0,0
617.683601,303.817308,0,0,647.34492,225.282609,0,0
623.767974,301.221154,0,0,643.542187,233.108696,0,0
626.049614,301.221154,0,0,641.260547,239.195652,0,0
616.162507,302.951923,725.681224,555.717391,638.21836,248.76087,0,0
597.148841,289.105769,725.681224,531.369565,632.894534,259.195652,0,0
581.937908,281.317308,725.681224,472.23913,626.049614,267.891304,0,0
573.571895,282.182692,718.075758,435.717391,621.486334,279.195652,0,0
575.092989,296.028846,717.315211,408.76087,621.486334,294.847826,0,0
569.008616,314.201923,716.554664,385.282609,619.965241,323.543478,0,0
567.487522,343.625,716.554664,367.891304,617.683601,355.717391,0,0
562.924242,373.048077,716.554664,356.586957,611.599228,387.891304,0,0
551.516043,405.067308,711.230838,327.891304,610.078134,407.891304,0,0
548.473856,430.163462,713.512478,307.891304,608.557041,429.630435,0,0
549.234403,447.471154,715.033571,289.630435,608.557041,454.847826,0,0
554.558229,473.432692,715.794118,260.934783,610.838681,480.065217,0,0
561.403149,496.798077,718.836304,248.76087,614.641414,499.195652,0,0
559.882056,525.355769,721.117944,237.456522,615.401961,517.456522,0,0
565.966429,546.990385,719.596851,232.23913,619.204694,545.282609,0,0
569.008616,575.548077,717.315211,226.152174,623.007427,559.195652,0,0
569.008616,604.971154,718.836304,220.065217,625.289067,579.195652,0,0
573.571895,624.875,721.117944,222.673913,625.289067,600.065217,0,0
575.853535,654.298077,721.117944,226.152174,627.570707,628.76087,0,0
578.895722,685.451923,721.878491,242.673913,637.457813,653.108696,0,0
0,0,724.920677,253.978261,637.457813,677.456522,0,0
0,0,722.639037,273.108696,637.457813,712.23913,648.866013,281.804348
0,0,720.357398,293.978261,0,0,645.823827,274.847826
0,0,722.639037,309.630435,0,0,637.457813,272.23913
0,0,721.878491,323.543478,0,0,626.049614,261.804348
0,0,721.117944,333.978261,0,0,628.331254,250.5
0,0,721.117944,344.413043,0,0,628.331254,230.5
0,0,717.315211,352.23913,0,0,632.133987,212.23913
0,0,719.596851,357.456522,0,0,635.93672,196.586957
0,0,712.751931,341.804348,0,0,639.739453,190.5
0,0,718.836304,355.717391,0,0,648.866013,192.23913
0,0,724.920677,352.23913,0,0,653.429293,195.717391
0,0,730.244504,357.456522,0,0,655.710933,206.152174
0,0,734.047237,358.326087,0,0,652.668746,217.456522
0,0,731.005051,362.673913,0,0,648.866013,243.543478
0,0,736.328877,363.543478,0,0,645.06328,267.891304
0,0,735.56833,358.326087,0,0,648.866013,289.630435
0,0,730.244504,344.413043,0,0,655.710933,310.5
0,0,730.244504,335.717391,0,0,661.034759,320.934783
625.289067,595.451923,744.69489,329.630435,0,0,669.400772,324.413043
626.81016,551.317308,751.53981,326.152174,0,0,680.808972,324.413043
621.486334,511.509615,771.314023,320.934783,0,0,693.738265,328.76087
619.204694,477.759615,781.201129,327.891304,0,0,692.217172,345.282609
623.007427,446.605769,772.074569,341.804348,0,0,693.738265,363.543478
621.486334,418.913462,769.792929,359.195652,0,0,695.259358,392.23913
621.486334,404.201923,769.792929,369.630435,0,0,694.498812,419.195652
618.444147,373.048077,765.990196,393.978261,0,0,696.019905,438.326087
619.965241,345.355769,765.990196,406.152174,0,0,702.104278,460.065217
619.965241,318.528846,765.990196,434.847826,0,0,702.104278,473.108696
620.725787,295.163462,768.271836,447.891304,0,0,700.583185,484.413043
