ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,ATMOSPHERIC PRESSURE (Pascal),LOCATION Latitude,LOCATION Longitude,LOCATION Speed,LOCATION ORIENTATION,FRAME
10.023912,-0.389175,-0.370377,9.78655,-0.433429,-0.453866,-0.215053,0.041905,-0.03897,-0.008896,-0.019836,0.00386,21.101,-17.3801,-0.1316,176.5326,2.5332,-92.6553,102043.92,-33.964302,18.472769,0,,1
10.017242,-0.382202,-0.248474,9.786642,-0.431335,-0.453834,-0.222181,0.062153,0.107115,0.006012,-0.053925,0.012375,21.101,-17.3801,-0.1316,176.5326,2.5332,-92.6553,102043.92,-33.964302,18.472769,0,,2
10.017242,-0.382202,-0.248474,9.786642,-0.431335,-0.453834,-0.222181,0.062153,0.107115,0.006012,-0.053925,0.012375,21.0133,-17.2922,-0.2171,176.5326,2.5332,-92.6553,102043.92,-33.964302,18.472769,0,,3
10.169892,-0.422562,-0.518677,9.786316,-0.432345,-0.459908,-0.110128,0.047465,0.063851,-0.003571,-0.080566,0.010254,21.0133,-17.2922,-0.2171,176.5326,2.5332,-92.6553,102043.92,-33.964302,18.472769,0,,4
10.294098,-0.4832,-0.526215,9.786316,-0.432345,-0.459908,-0.110128,0.047465,0.063851,-0.00145,-0.069916,-0.001465,20.9255,-17.2922,-0.3025,176.4871,2.5268,-92.6906,102043.92,-33.964302,18.472769,0,,5
10.294098,-0.4832,-0.526215,9.785576,-0.434297,-0.473598,0.02171,-0.033813,-0.059271,-0.00145,-0.069916,-0.001465,20.9255,-17.2922,-0.3025,176.4871,2.5268,-92.6906,102043.92,-33.964302,18.472769,0,,6
10.33719,-0.421387,-0.541733,9.785304,-0.434211,-0.479261,0.06858,0.00653,-0.029526,-0.00145,-0.061386,0.001724,20.9255,-17.1164,-0.2171,176.4871,2.5268,-92.6906,102043.92,-33.964302,18.472769,0,,7
10.398576,-0.426147,-0.618027,9.785304,-0.434211,-0.479261,0.06858,0.00653,-0.029526,-0.00145,-0.050735,-3.97E-04,20.9255,-17.1164,-0.2171,176.4871,2.5268,-92.6906,102043.92,-33.964302,18.472769,0,,8
10.398576,-0.426147,-0.618027,9.78458,-0.433907,-0.494088,0.158608,0.023072,-0.08926,-0.014221,-0.039017,0.001724,21.0135,-16.9405,-0.046,176.226,2.5359,-92.8908,102043.92,-33.964302,18.472769,0,,9
10.398286,-0.459686,-0.651306,9.78458,-0.433907,-0.494088,0.158608,0.023072,-0.08926,-0.015289,-0.016647,-0.001465,21.0135,-16.9405,-0.046,176.226,2.5359,-92.8908,102043.92,-33.964302,18.472769,0,,10
